input,class
nicky the nose at the bar is a treat,2
i went to ruby foos after work with a group of 6,1
im amazed we havent been kicked out of this place yet,0
service was prompt friendly and great,2
i havent eat a lamb chop as delicious as thatthe salads are really nice dressed with lemon and extra virgnin olive oil,2
the sushi was awful,0
katzs has been a nyc original for over 100 years,1
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here,2
the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down it was a pleasurable experience,2
the plain pizza was soggy and the creative wild mushroomthird generationfornini pizza we had was drenched with truffle oil in the middle again making it soggy and nothingon the rest,0
late nite omelletes are not good here there is no variety,0
everything at sala thai is tasty and wellportioned,2
after all that they complained to me about the small tip,0
its a great place to pick up a cheap lunch or dinner,2
behind this counter two men are squeezed in,1
great find,2
if only they delivered theyd make a mint,1
whenever you need a sushi fix mizu will be there with quality fish and great service,2
our waitress was sweet and accomodating not overbearing,2
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them,1
i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there,0
the website and rating makes this place look wonderful but in reality it was very disappointing,0
despite a slightly limited menu everything prepared is done to perfection ultra fresh and a work of food art,2
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful,2
a large is 20 and toppings are about 3 each,1
in any event this is a place ill be sure to stop by again when im in this part of town,2
i definitely wouldnt go back,0
it is not worth for that bucks,0
brick oven gallery is my pick for best pizza restaurant anywhere,2
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening,2
for many people this may not seem like aunthentic thai food because most places in nyc arent quite authentic,0
growing up in ny i have eaten my share of bagels,1
oh dont even let me start with how expensive the bills were,0
a hearty two thumbs up,2
the scallion pancakes and fried dumplings were nothing out of the ordinary,2
all the appetizers and salads were fabulous the steak was mouth watering and the pasta was delicious,2
besides having the table we had been promised given to other restaurant patrons twice before we were actually seated we were served dishes we hadnt ordered three times received one of our orders 20 minutes after the rest of the table had been served and that order was undercooked and charged 45 more than we should have been on our bill,0
service is top notch,2
the food now is inconsistent,0
all pretty good,2
you can also special order any kind of dumplingetc,1
you guys rock,2
chance is a joke,0
i was pretty much full after our fondue appetizer,2
be careful before you request extra spice,1
the octopus eaters were floored by the octopus salad,0
we thought that this place is using too much of msg cooking in the foods,0
i was at raos last wed,1
and the tom kha soup was pathetic,0
i started out with a bombay beer which was big enough for two,2
the decor is vibrant and eyepleasing with several semiprivate boths on the right side of the dining hall which are great for a date,2
service was quick,1
tends to turn people away,0
we thought this a prelude to what the evening will be like,1
i was turned on to this restaurant by a fellow foodie friend of mine and have been going back regularly ever since,2
drawbacks service is slow and they dont toast,0
went there for an office lunch,1
i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed,2
everytime i decide to try another place on the ues i get angry that i didnt just go to zucchero pomodori,0
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable,2
weve been following chef lyles food around new york for 15 years and while remaining classic his innovations with bistro fare have made us return and return,2
the best thing i tasted were the lambchops,2
its delicious,2
the spicy tuna and salmon are the best weve ever had,2
even though its good seafood the prices are too high,0
in addition the food is very good and the prices are reasonable,2
upon entering we were greeted by the owners steven and frederick who went out of their way to be more than gracious hosts,2
if you live outside the neighborhood dont bother,1
been going here since it opened have seen the quality value decrease considerably,0
meat dishes now adorn the selections although theres still a large number of vegetarianfriendly choices,2
i never had anything i didnt like here,0
reasonable prices,1
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration,2
try the crunchy tuna it is to die for,1
it wont break the bank but i also wouldnt come back for the food,0
all in all this midtown gem instantly became one of my favorite sushi restaurants in the city,2
ive been to joya twice and i will never go again,0
so rushing us out was absolutely unnecessary,0
however it is the only taiwanese restaurant in town,1
it is a lot of fun with live entertainment and all kinds of disney type special effects,2
if youre looking for perfect traditional sushi go here if youre looking for interesting combinations try sushi of garis east side,2
no refills on fountain drinks though,1
wow over 100 beers to choose from,2
be careful of portions theyre huge,1
the steak tartare is a great bet they fix it for you at the table,2
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal,1
great for large groups and celebrations our super happy waiter was the entertainment of the evening,2
did i mention the wine,1
plus on wednesday nights the house wine is unlimited,2
it is by far my favorite restaurant in brooklyn,2
now its so crowded and loud you cant even talk to the person next to you,0
love pizza 33,2
even my indian friend couldnt believe how good and tasty everything was,2
im from england and harus was the best i had in nyc,2
less more in their case,1
ruby foos is a tourist trap,0
ive been here a couple of times and have not been impressed,0
ive been many time and have never been disappointed,1
ciao bella,1
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan,1
the dim sum servings here are a bit larger than im used to,1
however in the summer of 2003 it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup,1
we wont go to this place again for a good meal,0
its a much more grown up restaurant compared to the rest of the street,2
barbecued codfish was gorgeously moist as if poached yet the fabulous texture was let down by curiously bland seasoning a spice rub might have overwhelmed however herb mix or other sauce would have done much to enhance,2
we were treated with attitude ever since the moment we stepped into the restaurant,0
after dinner take your date to the huge dance floor probably one of the biggest youll see in ny,2
taj mahal offeres gret value and great food,2
has the chef and owner changed,1
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience,2
i absolutely loved this place,2
i wish i lived there as i would eat at this place as often as possible,2
but dont ever order bacon late at nite either platter or in sandwiches for that matter dont from any take out place as it is from the morning frying turns out hard almost like bacos hurt my molars,0
outstanding bagels but you get what you pay for,2
pizza the only pizza in nyc that should not have additional toppings the crust tastes like the best freshly baked bread,2
if youre in town its worth searching for another place,1
i have tried the various slice joints around the village but this is by far the best one,2
i found it on a cold night the perfect spot to warm up,2
they even have a section in the menu called american chinese food,1
service was warm and attentive beef carpaachio was exellent huge portion and pasta was fresh and wellprepared,2
kalbi and nebbiolo do work together,1
best italian food i ever had and being italian that means alot,2
i will recommend scopa to all of my friends for a place to go for wonderful italian food,2
located at the end of a magnificent block,2
this restaurant is not worth the time effort or money to say the least,0
looking around i saw a room full of new yorkers enjoying a real meal in a real restaurant not a clubhouse of the fabulous trying to be seen,2
keep up the good work guys,2
hurleys is terrific,2
they dont walk around with the trays of dim sum,1
took my sister here before attending a show one evening,1
great bar most gorgeous bartenders youve ever seen specifically the blond lady,2
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order,1
really,1
i really loved the different and inovated touch thats the cheff gives to the food,2
our friends have not arrived yet,1
they came out over cooked and the cheese was almost non existant,0
i had a terrific meal and our server guided us toward a very nice wine in our price range instead of allowing us to purchase a similarly priced wine that wasnt as good,2
the svc can be a bit rude at times esp if you have big group but overall the restaurant is a must,0
my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary and to our surprise it was fantastic,2
never once did i leave feeling unwelcome or impressed,0
the food is good especially their more basic dishes and the drinks are delicious,2
but the main hit was the whole grilled fish,1
i had the tuna tartare with sake mushroom ravioli with pinot noir and the chocolate sampler with a dessert wine for 49,1
on a hot day it was fabulous to stop in and enjoy lunch,2
the food is delicious and beautifully prepared along with the friendly and personable service,2
i usually go there later at night when i get off work so i dont have to deal with crowds or lines,1
pizza here is consistently good,2
we had a great tiem watching the shows and characters and ar food was just what we were looking for,2
after 2 tries by the waiter to take it away we hadnt even looked at it yet we had full beers yet to drink the manager approached and told us they needed the table for people with reservations,1
wouldnt recomend it for dinner,1
sauce was watery and the food didnt have much flavor,0
my husband and i enjoy sangria,2
but after last night spice grill is the only place im eating indian cuisine,1
we both opted for a pasta dish and they were served timely and fresh,2
first the wrong bread came out with the appetizer then when i tried to order a second glass of wine for my main course,0
not sure where the previous reviewer lonk dined but saul is in a great neighborhood and has great food,2
in an area sadly lacking in decent thai food this is one of the best spots,2
tell them herky sent you and get a free confused look from the waiter,1
make reservations but expect to be delayed 1520 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to time square,0
the food was average or above including some surprising tasty dishes,2
they dont seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai,1
other apetizers and food,1
the noodle and rices dishes taste great,2
the foods as good as ever,2
the crust is thin the ingredients are fresh and the staff is friendly,2
your friends will thank you for introducing them to this gem,2
also a little more expensive than your average bagel place,0
the food was undercookedthe sauce watery and the vegetables raw,0
and the fried clams had just enough kick to them to make em worth eating,1
the sauces used are also not that exciting,0
the secret is the lunch menu which offers a complimentary appetizer with every entree ordered,2
i absolutely love this place,2
the rice was poor quality and was cooked so badly it was hard,0
we had champagne and caviar and felt like princesses,2
the shrimp scampi was excellent and the antipasti were plentiful,2
i am surprised to say the least and find such practice not worth the effort,0
when my dessert came there was a candle in it not because anyone asked for one but because the waiter must have seen me opening my birthday card and gift and said he knew it was a special occassion of some sort,1
i got the 10 10piece dim sum combo every bite of which was great,2
there are other vietnamese restaurants in the chinatown area and you can forget about those,1
there is also very limited seating and there can be a substantial wait in getting food at peak times,0
if its just a quick martini at the bar which i recommend jefferys or a mind blowing roast chicken go to village,2
no thanks,1
there was a long wait for a table outside but it was a little too hot in the sun anyway so our insde table was very nice,2
i would definently recommend this restaurant,2
the prices are wonderfully low,2
if you like spicy food get the chicken vindaloo,1
i love this place,2
i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials,2
so much more than the usual bar food go there to enjoy the menu while sampling one of their handcrafted beers,2
a big disappointment all around,0
and its absolutely delicious,2
no free drink,1
i would say that all was fine and tasty but the heaviness on my stomach someting that i cant not mention or undermine,1
this is my first time writing a review for a restaurant because the food and service was excellent,2
definitely highly not recommended,0
while they keep the capex to a minimum they do put some cash into the bagels because they among the best in the city,2
i had a huge group for my birthday and we were well taken care of,2
the two star chefs left quite some time ago to open their own place,1
dont waste money on decor,0
they also have a back garden open in the summer cute and french with outdoor seating what more could you ask for,2
go to any corned indian restaurant and the little india strip along east 6 st rules supreme,1
i have never before eaten 40 pieces of relatively good nigiri,1
given the incredible architecture surrounding it this place has no character,1
id call it an italian dinner,1
my first time here was with my gf for our 12 month anniversary,1
while the place is not a hotspot hangout the drinks are unique and pack a lot of bang for the buck,2
i have walked by this place for eons and finally went thanks to a girls night,2
have frequented ino for several years and the food remains excellent,2
their eggplant is so delicate sweet tender,2
i pray it stays open forever,2
each bite of food at kai was indeed delicious fresh and elegant,2
all the food was excellent considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it,2
if you want to save some money dont go here,0
my friend got the mushroom pizza which tasted better,2
i had the cod with paella spicy and very filling im a big eater and could only eat half while my boyfriend had the classic fish and chips again a big serving at least 5 pieces of fish and a basketful of fries,2
its a shame that a nice convenient place like the pink pony can be so ruined by lousy service,0
this is the first time citysearch didt call it right,0
you should pass on the calamari,1
the porcini mushroom pasta special was tasteless so was the seafood tagliatelle,0
try the spicy wontons and the salt pepper shrimps,1
the food portions are really large,1
the fries are yummy,2
friendly and informative staff very attentive and prompt raw bar service,2
best taiwanese food in ny,2
i have eaten at many pizza places around nyc and this is hands down the worst,0
this place is a great stop for great food,2
all the pastas are fantastic and the homemade lasagna is some of the best that i have had in the city,2
what for,1
fantastic,2
they were dry and disgusting i didnt even finish my first piece,0
highly recommended for a first date,2
we laughed when he finally offered us a dessert menu and we left a 10 percent tip which was generous i feel,2
and the prices were way to high for what you get,0
but people from sichuan will die for it chongqing hot pot chongqing was the biggest city of sichuan now became an independent province,0
skip baroanda down the street eurotrashy snooty and expensive and check this place out,1
skip this location and go to the one in soho,1
the staff ignored my friends and i the entire time we were there,0
yet paired with such rude service would never recommend for anyone interested in carrying any kind of conversation while there,0
i went to areo on a sunday afternoon with four of my girlfriends and spent three enjoyable hours there,2
the inhouse lady dj on saturday nights has outrageously good taste in music and moreover takes requests,2
i need at least three rolls to be full and thats at least 1400,1
anyone who ever dined at a thai restaurant is in for a huge disappointment,0
all of it was simply amazing unique and tasty and best of all it didnt break the bank,2
great wine list reasonably pricedsara,2
the hot dogs were cold in the middle and the buns were stale,0
while the food was excellent it wasnt cheap though not extremely expensive either,2
beef noodle soup is good as well,2
i was so sad to read the bad reviews this place got,0
delivery service is great too,2
the foods dazzling flavors overwhelm the palate truly embracing the beauty of authentic thai cuisine,2
i recieved prompt service with a smile,2
they pray to their food gods to make them into a good pizza like vts,1
the place was quiet and delightful,2
molto bene,1
the best ive found outside of the chinatown masters,2
they are amazing,2
avoid this place,0
the food is a diamond in rough the food is delicious and homemade with the perfect balance of herbs and tomatoes,2
a must try,1
as much as i like the food there i cant bring myself to go back,0
it looked like shredded cheese partly done still in strips,1
the prices and ambience are especially great considering its in the west village,2
the soup is pretty good too,2
it is so easy to get a reservation at a top place in nyc with a weeks notice,2
i have never better enjoyed humble root vegetables or a mushroom consomme and this chef accomplishes without fats,2
if you go to roths try to be served by mike he is great,2
based on a visit a month ago i returned the week before christmas and was hugely disappointed,0
went here on a friends reccomendation,1
not the food not the ambiance not the service i agree with the previous reviews you wait and wait the wait staff are very rude and when you get in they are looking to get you right out,0
i love essabagel but i live on the west side so i often go to murrays for convenience,2
i always get the shabushabu dinner and the beef is always fresh,2
the pizza was delivered cold and the cheese wasnt even fully melted,0
we were very surprised by how good the food was on our first visit here on a sunday night,2
nha trang while being notorious for utter lack of comfort and decor horribly slow wait staff and horribly quick meals is one of the best vietnamese restaurants ive ever been to the pho is delicious and comes with very fresh vegtables,2
on the other hand if you are not fooled easily you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse and food that will outshine in presentaion taste choice quality and quantity,2
we will definitely go back,2
i live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of the pizza place at 3am,1
is just the way it was in days gone by,1
if i could rate the people this place would be off the charts unfortunately the pizza sorry not the best in nyc,0
the food is amazing,2
having not been home in the last 2 years may skew this reviewer a bit but the food was tasty and spicy sans the oil that comes floating along at similar venues,2
the portions are now very small the sauces are overlyambitious usually inedible while the service is still good the restaurant due to its popularity seems frantic,2
for the price you cannot eat this well in manhattan,0
the owner is very friendly and a great guy go try his pizza youll like it,2
the atmosphere is great,2
it can be a very fun experience with a group and kids 6 and over would love it,2
with so many good restaurants on the uws i dont need overpriced food absurdly arrogant waitstaff who dont recognize they work at a glorified diner clumsy service and management that doesnt care,0
i tend to judge a sushi restaurant by its sea urchin which was heavenly at sushi rose,2
the service is a little scatty at times but all is forgiven when the food arrives,1
the bruscetta is a bit soggy but the salads were fresh included a nice mix of greens not iceberg all dishes are served piping hot from the kitchen,2
and evaluated on those terms pastis is simply wonderful,2
the atmosphere isnt the greatest but i suppose thats how they keep the prices down,1
the pickles were great addition,2
if your favorite chinese food is general tao chicken then this is not your place,0
you must try the shrimp appetizers,2
not only is the cuisine the best around the service has always been attentive and charming,2
filled with suits though so you never really feel terribly comfortable,1
the production is a symphony alot of fun to experiencethe food sublime for the most part,2
waiters tend to forget drinks completely food portions are so tiny two people have trouble sharing one entree,0
my wife and i have been going to nyc for years and wouldnt miss roxys food is expensive but its new york,2
its like you are transported to the italian countryside very romantic and filled with antiques,2
the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan,1
just go and see for yourself,1
the restaurant was packed at first so we waited at the bar for about 20 minutes before we were seated,1
interesting selection good wines service fine fun decor,2
i hate this,0
any if you have a reservation youll wait for max 5 minutes so have a drink at the bar,1
whether its the parmesean porcini souffle or the lamb glazed with balsamic vinegar you will surely be transported to northern italy with one bite,1
that place was awesome sally,2
the food at this place is gourmet indian cuisine,2
finally a reliable chinese restaurant,2
get over it,0
but the thing that my wife and i hated was it was so loud and it felt like bar or pub,0
however it just so happens that theres an even more amazing place just down the street,2
while there are plenty of places to go for a good corned beef sandwich katzs has a charm about it,2
however looking at the table next to ours we both sort of wished we had ordered pizza which looked perrrrrrrrrfect,2
priced at upper intermediate range,1
the fish was adequate but inexpertly sliced,1
i recommend ordering in on a weeknight,2
if you live in new york city youll find better food at small restaurants outside of time square and spend half the amount,2
try the olive cream cheese or the lox spread on a whole wheat everything bagel,1
while its not nobu it sure is a great deal and you definitely will leave feeling satisfied and full,2
so my husband made up an excuse so we can leave,1
its very spicy but not offensive,1
they didnt disappoint service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table,2
i dont know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer,0
the rice to fish ration was also goodthey didnt try to overpack the rice,2
they used shredded cheese on top,1
they are located in the middle of chinatown,1
the food is great and they have a good selecion of wines at reasonable prices,2
eating at ottimo is like eating in chef salvatore espositos home,1
katzs deli is a great ny experience,2
check it out,1
the only positive was the wait staff which was prompt knowledgable and likeable,2
i couldnt reccommend their godmother pizza any higher,0
i am not a vegetarian but almost all the dishes were great,2
i was very impressed by this lowkey upper eastsider and their authentically thai cuisine,2
i would go again if i didnt have to pay,1
for the location the prices are very reasonable,2
the food is okay and the prices here are mediocre,2
my friends food was also the complete opposite of what its supposed to taste like and look like,0
i ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime,1
i would like to return and try some of the other menu items when i dont have to rush off to a show,2
we have been to this place many times and always have great food wine and service,2
hopefully next time i will save room for dessert,2
alain ducasse is the best of everything i mean everything was excelenti,2
not a typical pizza joint but good for a low key and fairly cheap nice sit down dinner,2
the corned beef was tender and melted in my mouth,1
go here,1
the best chicken pad tai ive ever had,2
we werent even at our table for more than an hour total,1
20 for all you can eat sushi cannot be beaten,1
it has been my first choice ever since i discovered it,2
over 100 different choices to create your own,1
haru serves very fresh fish has a trendy modern ambiance prime location on park avenue south and friendly service,2
warm and friendly in the winter and terrific outdoor seating in the warmer months,2
very romantic fires ive literally spent hours at lanterna drinking wine from their extensive wine and enjoying the ambience,2
we got a little tipsy from the sake but isnt that what saturday nights with the girlfriends are all about,1
i almost wanted to write a bad review so no one would ever go here and i could have all the dumplings to myself,0
after reading the posts i was always skeptical to go to the minnow despite living in park slope,0
i loved it and will be back soon,2
always a nice crowd but never loud,2
my turkey burger was not cooked at all my friends salmon was completely raw,0
the service is spotty sometimes really friendly and sometimes barely there,0
decor is minimalist and clean nothing to distract or commend,1
his drinks are very inventive delicious and classy,2
great food great prices great service,2
this isnt your corner chinese food takeout,0
awsome pizza especially the margheritta slice,2
this place however has a lot less pretension than joya and the thai food is still aboveaverage,2
my husband and i ate here after reading reviews here as well as hobokenicom,1
try ordering from the regular menu then you would not regret,1
told us to sit anywhere and when we sat he said the table was reserved,1
uni from maine vs california sea vs freshwater eel to get a good taste comparison,1
we started with lox and mussels the best ive ever had ever and had the cod and trout for dinner,2
the crispy chicken wasnt for us though,0
just awsome,2
food is great,2
there is a lot of variety even for people who eat vegetarian like me,2
i recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal,2
this place is incredibly tiny,0
i will definetely go back again and again thats for sure,2
i didnt complain i liked the atmosphere so much,2
this is one of our alltime favorite,2
in reality to maximize potential diners they were still taking phone reservations and reallocating tables of those waiting in the lobby,1
the wine is always good the tapas are always yummy especially with the warm pita bread,2
but when you are seated the waitresses are great they explain everything on the menu and the price of the food is really cheap for the service you get,2
this place is amazingly bad,0
compared to other shabu restaurants around town this places wins handsdown,2
ive been to several places for dim sum and this has got to be the worst,0
i love this place,2
the freshest best variety and the fastest delivery,2
go to volare for 1st class service and terrific food,2
its supertrendy and theres always someone to take that empty seat so it seems that customer service has been deemed not of the essence,0
dinner took almost 4 hours without any lag time,1
the people in the restaurant were pretty obnoxious and loud,0
the sandwiches are dry tasteless and way overpriced,0
the problem is just thatit is a sometimes kind of affair,0
price no more than a jersey deli but way better,2
the fried rice is really good too,2
we were well attended to by the enthusiastic staff especially the manager tony gaskin who made excellent suggestions for our menu selections,2
made my dining experience uncomfortable,0
its a steal,0
we went to this restaurant based on prior internet comments,1
still stay away the table next to us walked out after my table and aanother were serves eventhough they were there much longer,1
i was with a party of 7 close but not next the the front doors and we were eating with our coats on,1
a very inviting restaurant with friendly service,2
the back garden sitting area is very pleasant where you can see their personal herb garden,2
whats the difference between the two,1
will go back but only sate those homesick stomach cravings,1
good french restaurant in an area devoid of decent restaurants unless youre into eating 4 pound pastrami sandwiches at katz deli or mexican food which is supplied by capable restaurants,1
i was very disappointed with this restaurant,0
the drinks are always welll made and wine selection is fairly priced,2
we also had shared a house salad that was fresh,2
the ceiling is amazing,2
my wife and i were in nyc celebrating our 30th anniversary,2
im glad i was introduced to this place and this is a rare gem in ny,2
and at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water,0
not a small feat for good french food in the area,2
the space is a bit too small for live music so on jazz nights it can be loud and cramped,0
food was average but tasty,1
we come from new jersey to eat at kinoko,1
big wong gets big ups for a fine establishment,1
will never be back,0
the entree was bland and small dessert was not inspired,0
i highly recommend it,2
oh and its too tiny for families with strollers,0
the staff was the friendliest that have seen in new york,2
with the exception of our lemon salad that had so much pepper on it that our eyes started watering the food here was decent not great,0
the pad thai lad nar and various other dishes all look good on paper but ive had better thai food in less asthetically pleasing places,2
delicious food at a great price but do not go here on a cold day and sit by the front door,2
my picks guizhou chicken fish with hot bean source fish fillet in spicy source special menu,1
overall im still impressed that the place even exists and the prices are quite decent but then again its chinatown,2
admittedly some nights inside the restaurant were rather warm but the open kitchen is part of the charm,2
my six year old loved it,2
pizza was a little soggy,0
the food inludes famous scrumptious bombay style chaat such as bhelpuri sevpuri and samosa chaats as well as other great indian appetizers,2
the singapore mai fun had no curry flavor whatsoever,0
the only problem is that the manager is a complete incompetent,0
the wine list is interesting and has many good values,2
murray wont do it,0
im still mad that i had to pay for lousy food,0
this restaurant used to be our regular thursday night dinner location,1
definite go if youre used to good indian restaurant food from abroad,2
thr at moshphere is compact modern yet cozy,2
by far the best pizza in manhattan,2
decent thai food in cute though a bit dank little nolita hangout but service terrible,0
most people eat there seem to be typical upper east side snobs so be aware,0
the waiter actually poured water on my hand and walked away,0
the food is mostly made from scratch fresh and well prepared,2
worse of all 60 was erroneously added to our 80 bill,0
too cold to enjoy,0
no more reservations expensive tips and annoying stuff,0
try the sea bass,1
20 gets you unlimited sushi of a very high quality i even took a friend here from japan who said it was one of the best sushi places in the us that he has been to,2
i brought some buddies from ca and they loved it,2
inside is a little cramped but to be expected,1
sushi wasnt anything spectacular for the price,0
during our meal the management came over and checked on us and even bought us a round of drinks,2
but they dont have a toaster which is strange,0
so for good food id recommend it but not for a fun night out,1
the menu choices are similar but the taste lacked more flavor than it looked,0
a must for all the dosa lovers,2
the portions are huge so it might be good to order three things to split rather than one appetizer and entree per person for two people,1
the appetizers are just ok and the main courses were decidedly subpar,0
someone else recommended the dessert we also left that,1
the exotic food is beautifully presented and is a delight in delicious combinations,2
the staff is very attentive and we can almost always get a table,2
if you are a vegetarian this really isnt a good place to go,0
try the mediterranean salad it is a true experience for your taste buds,2
im sure ill return for a final judgement tho,1
of course it is crowded but who cares,0
this quaint and romantic trattoria is at the top of my manhattan restaurant list,2
ive been there three times and have always had wonderful experiences,2
people are always friendly,2
the cream cheeses are out of this world and i love that coffee,2
from the entrees to the sides to the drinks everything was creatively prepared yet still simple,1
hmmm,1
service was prompt and courteous,2
it was not above ordinary and the beef version had cheap undercooked beef,0
chance is a small cozy restaurant with a romantic feel to it the decor is great,2
it was nice and fresh but i cant give it high scores on being authentic thai,0
overall worht every penny,1
when i called this morning i didnt think i would be able to get in at 12 but i was able to get in along with four other guests,1
got club soda filled with ice no lime,1
only wine and beer are served but the house varities are actually quite good,2
this place must have cost the owners afortune to build,0
my mouth starts to water merely thinking about the delight that is this restaurant,2
i havent been to the other locations,1
oh and the complimentary pudding dessert was just enough yummy,2
people dress in suits or evening gowns as well as shirts jeans,1
we split a tasty vegetable samosa and the malai tikka wrap,2
knowledge of the chef and the waitress are below average,0
we were walking around the village and went into this place just for some drinks,1
decent wine selection too,2
go with a group of friends and you will have a great time,2
it saves walking in and waiting for a table in the often noisy crowded bar at dinnertime,1
i have to say i have never had a disapointing meal here,1
its one of our favorite places to eat in ny,2
the place does get crowded so i recommend going between 45 pm,2
mine was a little burnt but still delicious with goat cheese and panchetta raddichio was kind of bitter though,2
disappointing food lousy service,0
im from sichuan this is the restaurant i recommend going,2
this lovely frenchasian fusion restaurant stands out amongst other great restaurants on smith street,2
if you want a casual neighborhood bistro that has great food and excellent service this is the place,2
great place to go for a drink too because they have 100 kinds of beer,2
but this place is a welloiled machine so they know what theyre doing,1
over price and small portions,1
meanwhile the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil gratis,2
but id go back,1
stepped on my foot on the second time he reached over me to adjust lighting,1
the food was well prepared and the service impecable,2
but their best dish is thh thai spiced curry noodles with shrimp a dish that would cost 2395 is most places but it is 16 here,2
good dark atmosphere and the music is a nice touch,2
my husband said the portions were very small but if my main course was good to eat the portion wouldve been fine for me,2
but the thai is definitely not great bland and indistinguished,0
this thai restaurant is a couple blocks away from sripraphai another delicious thai restaurant,2
great for groups great for a date great for early brunch or a nightcap,2
authentic shanghai style and i cannot recommend a better shanghai place in new york,2
our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese,2
perhaps the last reviewer who stated she was treated with attitude lives in a parallel universe because i have never had anything but a perfect experience at yasuda,2
that said i thought scalini fedeli was one of the best dining experiences ive ever had,2
everything about this restaurant was special,2
because we didnt have a reservation we could only sit in the back garden but it was great secluded and perfect in nice weather,2
stuffing yourself with japanese food is a rare thing,1
i try my best to give an accurate description of any establishment visited,1
while the food was good certainly no il mulino the service was horrendous,0
it is expensive but well worth the money,2
service is not what one would expect from a joint in this price category,0
our family never expected such incredible entertainment in a restaurant,2
i would recommend reservations on weekends though,1
there are many thai places in the city but so far toons is 1,1
great pizza for lunch place,2
the food was very expensive we spent 160 for lunch for two but extremely tasty,2
i dont think i would go again,0
we were a group of 8 and well seved,2
and thats no mean feat,1
i often go there to eat with my family,1
i wish they would change back to what it was before,1
the signs the specials menus food and even all the waitstaff are all totally japanese,1
no pizza 33 for me,1
i love their spicy scallop roll and my boyfriend consistently gets the sesame chicken,2
im no food critic but id like to think i have a tiny bit of experience under my belt having lived in ny for the last 11 years,1
i noted it was crossed off on the bill,1
needless to say im never going back and you should be wary too,1
best dish is noriwrapped tuna,2
the food was absolutely amazing,2
some servers make you feel like they are doing you a favor to bring you the food,1
an excellent alternative to fast food joints and ordering in but the food was slightly disappointing,0
mermaid inn is an overall good restaurant with really good seafood,2
i work around the corner and tried it with a colleague for the first time,1
i went here with my boyfriend and another couple,1
the staff is also attentive and friendly,2
the all you can eat deal is truly amazing here,2
that is a problem since we paid about 20 bucks a dish and had to order 5 dishes to get a decent taste,0
this is definitely a place that provides the best experience though to both alisters and people walking in off the street,2
they were such a ripoff 895 for four small meat patties in steamed buns and not worth trying,0
first it took us a long time to find the place,0
all of the pizzas are terrific and the price is even better,2
it is about food and ambiance and imagine how dreadful it will be it we only had to listen to an idle engine,0
the food was good too,2
we have tried every thai restaurant between atlantic avenue and 4th streets and joya is the best,2
immediately after we paid the waiter took the money and said okay you guys are outta here,1
the dining room is quietly elegant with no music to shout over how refreshing,2
admittedly this is not the place for gigantic pieces of fish overflowing the plate and thank goodness in my opinion but for simple elegant sushi there is no better place in new york or anywhere in the us,2
i am a die hard peep lover,2
once you become a regular you are treated as one,1
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them,2
everyone treats you like you were part of the family,1
the white bean brushetta to start was incredible and the pasta was phenomenal,2
the rest of the menu is limited by everything is good eats,2
the menu is nothing like the one on the website,0
great food great lay out and awesome service,2
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away,1
sea has become so popular that theyve let it go to their heads,1
we walked in on a wednesday night and were seated promptly,1
chennai garden is my favorite indian restaurant in the city,2
the wait staff is very freindly they make it feel like youre eating in a freindly little european town,2
oh yeah ever on the west side try there sister resturant arties cafe,1
besides that there should be more restaurants like it around the city,1
