|input
3510|This is my first time writing a review for a restaurant because the food and service was excellent.
3512|Definitely Highly NOT recommended.
3514|While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.
3516|I had a huge group for my birthday and we were well taken care of.
3518|The two star chefs left quite some time ago to open their own place.
3520|Don't waste money on decor.
3522|They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?
3524|go to any corned indian restaurant, and the little india strip along east 6 st rules supreme!
3526|I have never before eaten 40 pieces of relatively good nigiri.
3528|Given the incredible architecture surrounding it, this place has no character.
3530|I'd call it an 'italian dinner'.
3532|my first time here was with my gf for our 12 month anniversary.
3534|While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.
3536|I have walked by this place for eons and finally went thanks to a girls' night.
3538|Have frequented 'ino for several years and the food remains excellent.
3540|Their eggplant is so delicate, sweet tender!
3542|I pray it stays open forever.
3544|Each bite of food at Kai was indeed delicious, fresh, and elegant.
3546|all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.
3548|If you want to save some money, don't go here.
3550|My friend got the mushroom pizza which tasted better.
3552|I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).
3554|It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service.
3556|This is the first time Citysearch did't call it right.
3558|You should pass on the calamari.
3560|The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.
3562|Try the spicy wontons and the salt pepper shrimps.
3564|THE FOOD PORTIONS ARE REALLY LARGE.
3566|The fries are yummy.
3568|Friendly and informative staff, very attentive and prompt raw bar service.
3570|Best Taiwanese food in NY!
3572|I have eaten at many pizza places around NYC and this is hands down the worst.
3574|This place is a great stop for great food.
3576|All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.
3578|What for?
3580|Fantastic!
3582|they were dry and disgusting, i didn't even finish my first piece.
3584|HIGHLY RECOMMENDED for a first date.
3586|We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel.
3588|And the prices were way to high for what you get.
3590|But people from Sichuan will die for it)  - Chongqing Hot Pot, chongqing was the biggest city of Sichuan, now became an independent province.
3592|Skip Baroanda down the street (Eurotrashy, snooty and expensive) and check this place out!
3594|Skip this location and go to the one in Soho.
3596|The staff ignored my friends and I the entire time we were there.
3598|Yet paired with such rude service, would never recommend for anyone interested in carrying any kind of conversation while there.
3600|I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.
3602|The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.
3604|I need at least three rolls to be full, and that's at least $14.00!
3606|Anyone who ever dined at a thai restaurant is in for a huge disappointment.
3608|All of it was simply amazing, unique and tasty and best of all it didn't break the bank.
3610|Great wine list, reasonably priced.--Sara
3612|The hot dogs were cold in the middle and the buns were stale.
3614|While the food was excellent, it wasn't cheap (though not extremely expensive either).
3616|Beef noodle soup is good as well.
3618|I was so sad to read the bad reviews this place got!
3620|Delivery service is great too.
3622|The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.
3624|I recieved prompt service with a smile.
3626|They pray to their Food Gods to make them into a good pizza like VT's.
3628|The place was quiet and delightful.
3630|Molto bene!
3632|.the best I've found outside of the Chinatown masters.
3634|They are amazing!
3636|Avoid this place!
3638|The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
3640|A must try!
3642|As much as I like the food there, I can't bring myself to go back.
3644|It looked like shredded cheese partly done - still in strips.
3646|The prices and ambience are especially great considering it's in the West Village.
3648|The soup is pretty good too.
3650|It is so easy to get a reservation at a top place in NYC with a week's notice.
3652|I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.
3654|If you go to Roth's try to be served by Mike, he is GREAT!!
3656|Based on a visit a month ago, I returned the week before Christmas and was hugely disappointed.
3658|Went here on a friend's reccomendation.
3660|not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .
3662|I love Ess-a-bagel, but I live on the west side, so I often go to Murray's for convenience.
3664|I always get the Shabu-Shabu dinner and the beef is always fresh.
3666|The pizza was delivered cold and the cheese wasn't even fully melted!
3668|We were very surprised by how good the food was on our first visit here on a Sunday night.
3670|Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.
3672|On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.
3674|We will definitely go back.
3676|I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.
3678|Is just the way it was in days gone by.
3680|If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC.
3682|The food is amazing!!!!
3684|Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.
3686|The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.
3688|For the price, you cannot eat this well in Manhattan.
3690|The owner is very friendly and a great guy, go try his pizza, you'll like it!
3692|The atmosphere is great!!!
3694|It can be a very fun experience with a group, and kids (6 and over) would love it.
3696|With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.
3698|I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.
3700|The service is a little scatty at times but all is forgiven when the food arrives.
3702|The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.
3704|And evaluated on those terms Pastis is simply wonderful.
3706|The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .
3708|The pickles were great addition.
3710|If your favorite Chinese food is General Tao chicken, then this is NOT your place.
3712|You must try the shrimp appetizers.
3714|Not only is the cuisine the best around, the service has always been attentive and charming.
3716|Filled with suits, though, so you never really feel terribly comfortable.
3718|The production is a symphony, alot of fun to experience.The food sublime for the most part.
3720|Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.
3722|my wife and i have been going to nyc for years and wouldn't miss roxy,s food is expensive but it's new york!
3724|It's like you are transported to the Italian countryside, very romantic and filled with antiques.
3726|The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.
3728|Just go and see for yourself.
3730|The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.
3732|Interesting selection, good wines, service fine, fun decor.
3734|I hate this.
3736|Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.
3738|Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.
3740|That place was awesome,,,  sally !
3742|The food at this place is 'gourmet' Indian cuisine.
3744|Finally a reliable Chinese restaurant!
3746|get over it!
3748|But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.
3750|However, it just so happens that there's an even more amazing place just down the street.
3752|While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.
3754|However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.
3756|Priced at upper intermediate range.
3758|The fish was adequate, but inexpertly sliced.
3760|I recommend ordering in on a weeknight.
3762|If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.
3764|Try the olive cream cheese or the lox spread on a whole wheat everything bagel.
3766|While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.
3768|So my husband made up an excuse so we can leave.
3770|It's very spicy but not offensive.
3772|they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.
3774|I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.
3776|The rice to fish ration was also good--they didn't try to overpack the rice.
3778|They used shredded cheese on top!
3780|They are located in the middle of Chinatown!
3782|The food is great and they have a good selecion of wines at reasonable prices.
3784|Eating at Ottimo is like eating in Chef Salvatore Esposito's home.
3786|Katz's deli is a great NY experience.
3788|Check it out.
3790|The only positive was the wait staff, which was prompt, knowledgable, and likeable.
3792|I couldn't reccommend their Godmother pizza any higher.
3794|I am not a vegetarian but, almost all the dishes were great.
3796|I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!
3798|i would go again if i didn't have to pay.
3800|For the location, the prices are very reasonable.
3802|The food is okay and the prices here are mediocre.
3804|My friend's food was also the complete opposite of what it's supposed to taste like (aND look like).
3806|I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.
3808|I would like to return and try some of the other menu items when I don't have to rush off to a show.
3810|We have been to this place many times, and always have great food, wine, and service.
3812|Hopefully next time, I will save room for dessert.
3814|Alain Ducasse is the best of everything, I mean everything was excelent.I
3816|Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.
3818|The corned beef was tender and melted in my mouth.
3820|GO HERE.
3822|The best Chicken pad tai, I've ever had.
3824|We weren't even at our table for more than an hour total.
3826|$20 for all you can eat sushi cannot be beaten.
3828|It has been my first choice ever since I discovered it .
3830|Over 100 different choices to create your own.
3832|Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.
3834|Warm and friendly in the winter and terrific outdoor seating in the warmer months.
3836|Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.
3838|We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?
3840|I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!
3842|After reading the posts, I was always skeptical to go to The Minnow, despite living in Park Slope.
3844|I loved it and will be back soon.
3846|Always a nice crowd, but never loud.
3848|My turkey burger was not cooked at all, my friends salmon was completely raw.
3850|The service is spotty, sometimes really friendly and sometimes barely there.
3852|Decor is minimalist and clean - nothing to distract or commend.
3854|His drinks are very inventive, delicious and classy.
3856|Great food, great prices, great service.
3858|This isn't your corner Chinese food takeout.
3860|Awsome Pizza especially the Margheritta slice.
3862|This place, however, has a lot less pretension than Joya and the Thai food is still above-average.
3864|My husband and I ate here after reading reviews here as well as hobokeni.com,
3866|Try ordering from the regular menu, then you would not regret!
3868|Told us to sit anywhere, and when we sat he said the table was reserved.
3870|uni from maine vs california, sea vs freshwater eel) to get a good taste comparison.
3872|We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.
3874|The crispy chicken wasn't for us, though.
3876|JUST AWSOME.
3878|Food is great.
3880|There is a lot of variety even for people who eat vegetarian like me.
3882|I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
3884|This place is incredibly tiny.
3886|I will definetely go back again and again, that's for sure!!!
3888|I didn't complain, I liked the atmosphere so much.
3890|This is one of our all-time favorite.
3892|In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.
3894|The wine is always good, the tapas are always yummy, especially with the warm pita bread.
3896|But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.
3898|this place is amazingly bad.
3900|Compared to other shabu restaurants around town, this places wins hands-down.
3902|I've been to several places for Dim Sum and this has got to be the WORST.
3904|I love this place.
3906|The freshest, best variety, and the fastest delivery.
3908|Go to Volare for 1st class service and terrific food.
3910|It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.
3912|Dinner took almost 4 hours without any lag time.
3914|The people in the restaurant were pretty obnoxious and loud.
3916|The sandwiches are dry, tasteless and way overpriced.
3918|The problem is just that-it is a sometimes kind of affair.
3920|Price no more than a Jersey deli but way better.
3922|The fried rice is really good too.
3924|We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.
3926|Made my dining experience uncomfortable.
3928|It's a steal!
3930|We went to this restaurant based on prior internet comments.
3932|still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...
3934|I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.
3936|A very inviting restaurant, with friendly service.
3938|THe back garden sitting area is very pleasant, where you can see their personal herb garden.
3940|What's the difference between the two?
3942|Will go back but only sate those homesick stomach cravings!
3944|Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants.
3946|I was very disappointed with this restaurant.
3948|The drinks are always welll made and wine selection is fairly priced.
3950|We also had shared a house salad that was fresh.
3952|The ceiling is amazing!
3954|My wife and I were in NYC celebrating our 30th anniversary.
3956|I'm glad I was introduced to this place and this is a rare gem in NY.
3958|And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.
3960|Not a small feat for good french food in the area.
3962|The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.
3964|Food was average but tasty.
3966|We come from New Jersey to eat at Kinoko.
3968|Big Wong gets big Ups for a fine establishment.
3970|Will never be back.
3972|The entree was bland and small, dessert was not inspired.
3974|I highly recommend it.
3976|Oh and it's too tiny for families with strollers.
3978|The staff was the friendliest that have seen in New York.
3980|With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.
3982|The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.
3984|Delicious food at a great price but do not go here on a cold day and sit by the front door.
3986|my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).
3988|Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown.
3990|Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.
3992|My six year old loved it.
3994|Pizza was a little soggy.
3996|The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.
3998|The Singapore Mai Fun had NO curry flavor whatsoever.
4000|The only problem is that the manager is a complete incompetent.
4002|The wine list is interesting and has many good values.
4004|Murray won't do it.
4006|I'm still mad that i had to pay for lousy food.
4008|This restaurant used to be our regular Thursday night dinner location.
4010|Definite go if you're used to good Indian restaurant food from abroad.
4012|THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY.
4014|By far, the best pizza in Manhattan.
4016|Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.
4018|Most people eat there seem to be typical Upper East Side snobs, so be aware.
4020|The waiter actually poured water on my hand and walked away.
4022|The food is mostly made from scratch, fresh and well prepared.
4024|Worse of all, $60 was erroneously added to our $80 bill.
4026|Too cold to enjoy.
4028|NO more reservations, expensive tips and annoying stuff.
4030|Try the sea bass.
4032|$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
4034|I brought some buddies from CA and they loved it.
4036|Inside is a little cramped, but to be expected.
4038|Sushi wasn't anything spectacular for the price.
4040|During our meal, the management came over and checked on us and even bought us a round of drinks.
4042|But they don't have a toaster, which is strange.
4044|So, for good food i'd recommend it, but not for a fun night out.
4046|The menu choices are similar but the taste lacked more flavor than it looked.
4048|A must for all the Dosa lovers.
4050|The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.
4052|The appetizers are just OK and the main courses were decidedly subpar.
4054|Someone else recommended the dessert - we also left that.
4056|The exotic food is beautifully presented and is a delight in delicious combinations.
4058|The staff is very attentive and we can almost always get a table.
4060|If you are a vegetarian, this really isn't a good place to go.
4062|Try the mediterranean salad, it is a true experience for your taste buds!!
4064|I'm sure I'll return for a final judgement tho.
4066|Of course, it is crowded but who cares.
4068|This quaint and romantic trattoria is at the top of my Manhattan restaurant list.
4070|I've been there three times and have always had wonderful experiences.
4072|People are always friendly.
4074|The cream cheeses are out of this world and I love that coffee!!
4076|From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.
4078|hmmm.
4080|Service was prompt and courteous.
4082|It was not above ordinary and the beef version had cheap (undercooked) beef.
4084|Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.
4086|It was nice and fresh, but I can't give it high scores on being authentic thai.
4088|Overall, worht every penny.
4090|When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.
4092|Got club soda, filled with ice, no lime.
4094|Only wine and beer are served, but the house varities are actually quite good.
4096|This place must have cost the owners afortune to build.
4098|My mouth starts to water merely thinking about the delight that is this restaurant.
4100|I haven't been to the other locations.
4102|Oh, and the complimentary pudding dessert was just enough- yummy!
4104|People dress in suits or evening gowns as well as shirts jeans.
4106|we split a tasty vegetable samosa and the malai tikka wrap.
4108|Knowledge of the chef and the waitress are below average.
4110|We were walking around the village and went into this place just for some drinks.
4112|Decent wine selection too.
4114|Go with a group of friends and you will have a great time.
4116|It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.
4118|I have to say I have never had a disapointing meal here.
4120|It's one of our favorite places to eat in NY.
4122|The place does get crowded, so I recommend going between 4-5 PM.
4124|Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
4126|Disappointing food, lousy service.
4128|I'm from sichuan, this is the restaurant I recommend going.
4130|This lovely French-Asian fusion restaurant stands out amongst other great restaurants on Smith Street.
4132|If you want a casual neighborhood bistro that has great food and excellent service, this is the place.
4134|great place to go for a drink too because they have 100 kinds of beer.
4136|But this place is a well-oiled machine so they know what they're doing.
4138|Over price, and small portions .
4140|Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.
4142|But I'd go back
4144|Stepped on my foot on the SECOND time he reached over me to adjust lighting.
4146|The food was well prepared and the service impecable.
4148|BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.
4150|Good, dark atmosphere and the music is a nice touch.
4152|My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.
4154|But the thai is definitely not great -- bland and indistinguished.
4156|This Thai restaurant is a couple blocks away from Sripraphai (another delicious Thai restaurant).
4158|Great for groups, great for a date, great for early brunch or a nightcap.
4160|Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.
4162|Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
4164|Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect experience at Yasuda.
4166|That said, I thought Scalini Fedeli was one of the best dining experiences I've EVER had.
4168|Everything about this restaurant was special.
4170|Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.
4172|Stuffing yourself with Japanese food is a rare thing.
4174|I try my best to give an accurate description of any establishment visited.
4176|While the food was good (certainly no Il Mulino) the service was horrendous.
4178|It is expensive but well worth the money.
4180|Service is not what one would expect from a joint in this price category.
4182|Our family never expected such incredible entertainment in a restaurant.
4184|i would recommend reservations on weekends though.
4186|There are many Thai places in the city but so far Toons is #1.
4188|Great pizza for lunch place.
4190|The food was very expensive (we spent $160 for lunch for two) but extremely tasty.
4192|I don't think I would go again.
4194|We were a group of 8 and well seved.
4196|And that's no mean feat...
4198|I often go there to eat with my family.
4200|I wish they would change back to what it was before.
4202|The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.
4204|NO PIZZA 33 for me!
4206|I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.
4208|I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years.
4210|I noted it was crossed off on the bill.
4212|Needless to say, I'm never going back and you should be wary too.
4214|Best dish is nori-wrapped tuna.
4216|The food was absolutely amazing!!
4218|Some servers make you feel like they are doing you a favor to bring you the food.
4220|An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.
4222|Mermaid Inn is an overall good restaurant with really good seafood.
4224|I work around the corner and tried it with a colleague for the first time.
4226|I went here with my boyfriend and another couple.
4228|The staff is also attentive and friendly.
4230|The all you can eat deal is truly amazing here.
4232|That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.
4234|This is definitely a place that provides the best experience, though, to both A-listers and people walking in off the street.
4236|They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.
4238|first it took us a long time to find the place.
4240|All of the pizzas are terrific and the price is even better!
4242|It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.
4244|The food was good too.
4246|We have tried every Thai restaurant between Atlantic Avenue and 4th Streets, and Joya is the best.
4248|Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.
4250|The dining room is quietly elegant with no music to shout over -- how refreshing!
4252|Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.
4254|I am a die hard peep lover.
4256|Once you become a regular, you are treated as one.
4258|The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.
4260|Everyone treats you like you were part of the family.
4262|The white bean brushetta to start was incredible and the pasta was phenomenal.
4264|The rest of the menu is limited by everything is good eats.
4266|The menu is nothing like the one on the website.
4268|Great food, great lay out and awesome service.
4270|Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
4272|SEA has become so popular that they've let it go to their heads.
4274|We walked in on a Wednesday night and were seated promptly.
4276|Chennai Garden is my favorite Indian restaurant in the city.
4278|The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.
4280|Oh yeah ever on the west side try there sister resturant Arties Cafe.
4282|(Besides that there should be more restaurants like it around the city).
4284|My roommate and I LOVE this place.
4286|The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.
4288|I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
4290|Not worth it.
4292|In the evening, this place attracted a well dressed, with it, NY crowd.
4294|They have it all -- great price, food, and service.
4296|So close, but not good enough.
4298|This was on a Tuesday night.
4300|Its also a bit of a hassle to get to without a car (I happen to live in Inwood).
4302|The flavors are great, and the menu is extensive.
4304|The food was amazing, the service was so attentive and personable, and how about that ambience!
4306|This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.
4308|The food has been consistant for years and it never lets you down.
4310|I found the variety of the sashimi plate to be satisfying - fresh and yummy.
4312|And forget what you read under me, the atmosphere isn't that bad either.
4314|Don't waste your time, or money!!
4316|They don't concern much of customer's health, just want to make money.
4318|We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.
4320|sometimes i get good food and ok service.
4322|We just ate at Kai and were disapointed.
4324|It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.
4326|This was a great surprise.
4328|After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.
4330|The food was spicy and delicious.
4332|I went with my fiance on a Tuesday evening.
4334|A little overpriced but worth it once you take a bite.
4336|It was wonderful.
4338|Went for a late weekday lunch.
4340|I just don't understand all the hype...
4342|Bartender was unable to tear himself away from friends at bar.
4344|Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.
4346|Dahkin also offers prix fixe lunch and buffet.
4348|Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter.
4350|You can barely see who you are with never mind have a conversation.
4352|This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
4354|I don't get it either.
4356|Went on a double date with friend and his girlfriend for a few drinks and appetizers.
4358|Great place to grab a hot bagel on the way to work.
4360|It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).
4362|One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.
4364|One of my favorite places in Manhattan.
4366|They brought glasses and the bottle, and just left the bottle at our table.
4368|We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.
4370|We were looking forward to nice glass of Sangria when we arrived.
4372|I would highly recommand requesting a table by the window.
4374|While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.
4376|I for one will never patronize them again.
4378|I stumbled upon this great pizzeria as I explored my new neighborhood.
4380|After hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.
4382|The service, however, was a bright flower in a garden.
4384|So, again, give it a try.
4386|Stay far away from this place.
4388|We will come back!!!
4390|We've been to Grocery three times and not once has an item on the menu disappointed.
4392|The food is very good too but for the most part, it's just regular food, nothing special.
4394|A touch more jalapeno heat for contrast and it would have been very good indeed.
4396|Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.
4398|We'd go back again
4400|We ate out in the back patio, which is worth it as it's cool and the music is hear well there.
4402|The location is perfect.
4404|Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.
4406|The lunch special is an asbolute steal.
4408|This food is asian-air fusion.
4410|Nothing fancy but really good food with pretty reasonable price.
4412|The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.
4414|While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window.
4416|i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.
4418|But on a lazy Saturday night, we ended up going.
4420|There are a few Italian employees who may not speak the best English but for me that adds to the experience.
4422|I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.
4424|Once for dinner and once for brunch.
4426|I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.
4428|Not worth the prices.
4430|Would recommend - perfect for those looking for a place close to grand central.
4432|From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.
4434|Service was good and food is wonderful.
4436|I only have friends.
4438|She gets 10 for her excellent service and advice.
4440|The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
4442|being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.
4444|Please save yourself the frustration.
4446|And I say snacking because it really is not set up to be a proper dinner.
4448|The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
4450|I have eaten at Saul, many times, the food is always consistently, outrageously good.
4452|(Always ask the bartender for the SEASONAL beer!!!
4454|If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq...
4456|We were on our way back to NJ, and since I am in NY, we figured why not grab some food?
4458|sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective!
4460|And comparing it to the Chinatown restaurants is simply not fair.
4462|Service and food is what any one would expect when spending that type of money.
4464|LOVE the atmosphere - felt like I was in Paris.
4466|Every course was better than the next.
4468|Not cheap, but not that expensive either.
4470|The staff is incredibly helpful and attentive.
4472|If presentation and service is your thing, then this magic show works.
4474|Apparently, the good cook works then.
4476|I was pleasantly suprised.
4478|The Yellowtail was particularly good as well.
4480|One less manhattanite the better.
4482|Everyone is welcomed in as family.
4484|I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.
4486|The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.
4488|Spice is sleek, modern and cool with a menu that will not hurt your wallet.
4490|Patroon features a nice cigar bar and has great staff.
4492|Hey, I think $2+ for a 5 block walk ain't bad.
4494|Very affordable and excellent ambient!
4496|Look elsewhere.
4498|More important, the sushi rivals the best in Tokyo.
4500|I have never had cheescake like this.
4502|Bill a little high, but worth it.
4504|I seriously doubt I will ever dine at Jimmy's Bronx, or for that matter, Jimmy's Uptown, again.
4506|Everyone I bring here always loves it.
4508|My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.
4510|Worth a visit.
4512|A real dissapointment.
4514|Its a go-to for dates as well as entertaining out of town guests.
4516|Why do people rave about the ambience.
4518|Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.
4520|Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.
4522|Great sushi experience.
4524|If you're looking for a great meal at a decent price, go to Del Frisco's!
